tair,rh,D_air,irradiance,apar,LAI,Ac,Reco,NEE
-4.1056,0.0,0.09906501604749966,0.0,0.0,0.0,0.0,1.41062116928659,1.41062116928659
-4.8995,0.0,0.09340573022807319,0.0,0.0,0.0,0.0,1.3350933283792705,1.3350933283792705
-4.8995,0.0,0.09340573022807319,0.0,0.0,0.0,0.0,1.3350933283792705,1.3350933283792705
-4.1056,0.0,0.09906501604749966,0.0,0.0,0.0,0.0,1.41062116928659,1.41062116928659
-2.5719,0.0,0.11087879016347545,0.0,0.0,0.0,0.0,1.5688425780516313,1.5688425780516313
-0.4029,0.0,0.1297491859480346,0.0,0.0,0.0,0.0,1.8233614707779493,1.8233614707779493
2.2535,0.0,0.15675958461164977,0.0,0.0,0.0,0.0,2.1919890564142426,2.1919890564142426
5.2163,0.0,0.1927469837454721,0.0,90.71705999999999,0.0,0.0,2.6917055420894904,2.6917055420894904
8.2837,0.0,0.23763956936031827,0.0,335.26386999999994,0.0,0.0,3.329396277083792,3.329396277083792
11.2465,0.0,0.2896588552990554,0.0,534.93538,0.0,0.0,4.088412022229076,4.088412022229076
13.9029,0.0,0.34471135250682033,0.0,676.1240999999999,0.0,0.0,4.914963135101767,4.914963135101767
16.0719,0.0,0.3963961565730633,0.0,749.2089,0.0,0.0,5.712335027245559,5.712335027245559
17.6056,0.0,0.43700415240320434,0.0,749.2089,0.0,0.0,6.353055381531594,6.353055381531594
18.3995,0.0,0.4594472184068428,0.0,676.1240999999999,0.0,0.0,6.7124553919519885,6.7124553919519885
18.3995,0.0,0.4594472184068428,0.0,534.93538,0.0,0.0,6.7124553919519885,6.7124553919519885
17.6056,0.0,0.43700415240320434,0.0,335.26386999999994,0.0,0.0,6.353055381531594,6.353055381531594
16.0719,0.0,0.3963961565730633,0.0,90.71705999999999,0.0,0.0,5.712335027245559,5.712335027245559
13.903,0.0,0.3447135895983849,0.0,0.0,0.0,0.0,4.914997203148246,4.914997203148246
11.2466,0.0,0.2896607703943606,0.0,0.0,0.0,0.0,4.088440361039946,4.088440361039946
8.2837,0.0,0.23763956936031827,0.0,0.0,0.0,0.0,3.329396277083792,3.329396277083792
